"wallet_address","token_address","gross_profit","realized_profit","realized_profit_percent","unrealized_profit","unrealized_profit_percent","win_rate","wins","losses","trade_volume","trades","avg_trade_size","is_bot"
"11CLpwZf1cFVBE9CxjfTVwHANDZqLizRzSihEKpwKV6","73reag6apzpa3aeyd1dksw3gnsgww14debrr2kqe3pp8",5120486.00,50492.00,41.00,-117.25,-0.10,60.00,3,2,5300000.00,3000,1800.00,1
"11LeiEEzeFV6wjD96dDS8qY2hYnLtWfFajV8Riz6Uad","73reag6apzpa3aeyd1dksw3gnsgww14debrr2kqe3pp8",11088513.00,398147.00,487.99,19.48,0.02,50.00,5,5,11000000.00,7000,1600.00,1
"11WTFWpbvD9aKSBbqnLovKNUcwUyXwkiY3ETDrTuYps","9if3jn3wee31nixzhgzrkhypsrulsawdrc5mhzb8yvbs",8128144.00,411087.00,210.47,-0.03,0.00,66.67,6,3,8500000.00,4700,1800.00,1
"121hyUo3MLNoPw8uWmgwQMhZZmGj5ZfNQ1XwtaijooEq","73reag6apzpa3aeyd1dksw3gnsgww14debrr2kqe3pp8",10640427.00,200412.00,87.70,0.00,0.00,66.67,8,4,11000000.00,4900,2300.00,1
"1225kbyT2jWWCHpjTjXMpaP7vBXokWE5gs7PqbBp5dj4","73reag6apzpa3aeyd1dksw3gnsgww14debrr2kqe3pp8",11235125.00,70082.00,77.33,-0.02,0.00,42.86,3,4,11000000.00,6900,1700.00,1
"123CaywH5yQxVk8mVENiMUXit6J5jWFKfxwwk21uoRvK","73reag6apzpa3aeyd1dksw3gnsgww14debrr2kqe3pp8",10037334.00,110327.00,83.88,0.00,0.00,44.44,4,5,10000000.00,4600,2300.00,1
"123Dc7bjzi7hJDCsmCuJPvw5VpKTW1986W22ASDU5jTk","87fbha3rmxdzpjxack8vrkg7mq34jljvvuqi99npkmk8",12300933.00,81292.00,51.32,0.00,0.00,57.14,4,3,13000000.00,8600,1500.00,1
"123K3Q1SumjjofnAS713yrrTjrayL7VUTfBprZuUjkgv","87fbha3rmxdzpjxack8vrkg7mq34jljvvuqi99npkmk8",6345439.00,181621.00,141.06,0.00,0.00,100.00,3,0,6600000.00,3600,1800.00,1
"124EjPSrT79PkbJZ5cgoF6m34EyPWppTYELChexhXdaR","87fbha3rmxdzpjxack8vrkg7mq34jljvvuqi99npkmk8",8434585.00,161382.00,174.49,0.00,0.00,66.67,4,2,8600000.00,6200,1400.00,1
"125LRTXepeyASRnrKVp6nGRoBe9jZq8HnEgk6b3T4Wy7","73reag6apzpa3aeyd1dksw3gnsgww14debrr2kqe3pp8",6561321.00,0.00,0.00,-0.04,-79.46,0.00,0,1,6600000.00,5700,1200.00,1
"125VC2C5h73fwJcKJ3kSZH1Sn6c48BRbfcVJv8iPvFTw","73reag6apzpa3aeyd1dksw3gnsgww14debrr2kqe3pp8",11099242.00,476902.00,312.32,0.00,0.00,40.00,4,6,11000000.00,5500,2100.00,1
"126Mcg3dDbSFPspBKQdUju54Un66AceAieEEA3iH5Tqe","73reag6apzpa3aeyd1dksw3gnsgww14debrr2kqe3pp8",533.35,145.20,480.79,0.00,0.00,100.00,1,0,594.00,5,119.00,0
"1296z3H5XVdERDCxHf2mQZxBY1wcghcRjffo2h3jB5hb",dn8mw6qfvmtaffvkp71pbhmhujf91qm3jzstekamwjqv,11466184.00,103982.00,154.96,0.00,0.00,28.57,2,5,12000000.00,6300,1900.00,1
"12AUttQ2D6UaLTPgxZ9eXuyDicQ17UDvX2Q8Qxk8nuMx","9if3jn3wee31nixzhgzrkhypsrulsawdrc5mhzb8yvbs",5847324.00,45966.00,31.75,6.15,0.00,50.00,3,3,6100000.00,3200,1900.00,1
"12CYs18g1XMe44jnqTe5fTNBSHrkNBvYTZd3fs9BgcSy","87fbha3rmxdzpjxack8vrkg7mq34jljvvuqi99npkmk8",5745793.00,-190.10,-93.30,0.02,0.01,50.00,1,1,5700000.00,4100,1400.00,1
"12D6GZ62JPvFpHmHnEvd4jWgqWdfb8DZn2zuCFroarSN","87fbha3rmxdzpjxack8vrkg7mq34jljvvuqi99npkmk8",5824542.00,28017.00,90.71,0.00,0.00,100.00,1,0,5900000.00,3200,1800.00,1
"12DhVCLNyY9yfU1GNrcmUgEqnkxs5F5DBDrgvnXFRZk3",dn8mw6qfvmtaffvkp71pbhmhujf91qm3jzstekamwjqv,10836609.00,36549.00,22.35,-0.02,0.00,45.45,5,6,11000000.00,5900,1900.00,1
"12Do7Qy5uCmEbPAcM99kSLFEUzp77M5hJ1hiAzU4aEC7","9if3jn3wee31nixzhgzrkhypsrulsawdrc5mhzb8yvbs",6155276.00,90134.00,91.46,0.00,0.00,50.00,3,3,6300000.00,3500,1800.00,1
"12E3yT8VXZkmZmc8kvaSQs1QGMzphHmr4o27MV1dWee5","87fbha3rmxdzpjxack8vrkg7mq34jljvvuqi99npkmk8",11089343.00,-14756.00,-14.58,0.00,0.00,16.67,1,5,11000000.00,6200,1800.00,1
"12ezPHMdedFwM94YefhRJ9RLhZcsDmX3gJsMKCWt6K9e","9if3jn3wee31nixzhgzrkhypsrulsawdrc5mhzb8yvbs",4786997.00,124949.00,275.61,-54.77,-0.12,66.67,2,1,4900000.00,2400,2000.00,0
"12g4XWvcteAUsjeRBg98bLRzWDrPxvzGTrB3MrqXjhKo","9if3jn3wee31nixzhgzrkhypsrulsawdrc5mhzb8yvbs",4899042.00,101402.00,98.44,0.00,0.00,100.00,3,0,5100000.00,3700,1400.00,1
"12KB5iqd5qyspvTsUyhgkzMz2Qt5ZhXit9LaQeRabGrJ","9if3jn3wee31nixzhgzrkhypsrulsawdrc5mhzb8yvbs",7135027.00,39368.00,46.94,0.00,0.00,50.00,2,2,7300000.00,4500,1600.00,1
"12Kidppr5AhAN1Z4L8rb2zJQB2AvfVWjLvg9z5nqg92Z","9if3jn3wee31nixzhgzrkhypsrulsawdrc5mhzb8yvbs",6816874.00,602415.00,438.37,0.00,0.00,42.86,3,4,7100000.00,3600,1900.00,1
