address,token_address,total_pnl,realized_pnl,roi,unrealized_pnl,unrealized_roi,win_rate,wins,losses,total_volume,total_trades,avg_trade_size,is_bot,avg_profit_per_trade,loss_rate,win_loss_ratio,profit_factor,volume_per_trade,persona,persona_confidence,validation_passed,quality_score,prob_Elite Sniper,prob_Whale,prob_Consistent Performer,prob_Scalper,prob_Momentum Trader,prob_Risk-Taker,prob_Developing Trader,profitability_score,risk_adjusted_score,consistency_score,copy_trading_score,risk_category,qual_category
126Mcg3dDbSFPspBKQdUju54Un66AceAieEEA3iH5Tqe,73reag6apzpa3aeyd1dksw3gnsgww14debrr2kqe3pp8,533.35,145.2,480.79,0.0,0.0,100.0,1.0,0.0,594.0,5,119.0,0,29.04,0.0,1.0,1.0,118.8,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
12ezPHMdedFwM94YefhRJ9RLhZcsDmX3gJsMKCWt6K9e,9if3jn3wee31nixzhgzrkhypsrulsawdrc5mhzb8yvbs,4786997.0,124949.0,275.61,-54.77,-0.12,66.67,2.0,1.0,4900000.0,2400,2000.0,0,52.062083333333334,0.0004166666666666667,2.0,2.0,2041.6666666666667,Whale,0.8703400000000001,True,0.8703400000000001,0.0,0.3556727046107008,0.31330901809339917,0.3310182772959001,0.0,0.0,0.0,0.9333400000000001,0.5126031041666667,1.0,0.8141509312500002,Medium-High Risk,High
13gj9sYDkj42PsC7koDk2cR9mj2YpVQxWvSBLcJcLkzG,6bgnw8p1snpvwobmhbaffewh726gzxlyudizi31xurv3,156020.0,-76138.0,-10.13,-898.32,-0.12,33.52,59.0,117.0,1700000.0,2200,762.0,0,-34.60818181818182,0.053181818181818184,0.5042735042735043,0.5042735042735043,772.7272727272727,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
14qx9SPMuxR8A8Z8ytgdtJMxYfPgmmEBYALNJ35CJUWQ,dmafl613xtipua3jfnyczavwt7xsiyf9cr3qmrmzqhb6,5000.6,4052.1,9.27,-3.18,-0.01,11.11,1.0,8.0,92000.0,48,1900.0,0,84.41875,0.16666666666666666,0.125,0.125,1916.6666666666667,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP,8j4th92zkmaolje8ucvetjbpkxnx7sdk5pxvp93hgk3f,-39829.0,-119638.0,-7.96,-61616.0,-4.1,27.69,36.0,94.0,2700000.0,629,4200.0,0,-190.2034976152623,0.1494435612082671,0.3829787234042553,0.3829787234042553,4292.527821939587,Risk-Taker,0.28662953723404255,True,0.28662953723404255,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.21821400000000002,0.1285749315022156,0.8,0.314521033174069,High Risk,Low
23PvMrBSMfK3zvTnaNdZHNCwUCoKVw7BnQm4hbe87gtq,bnefthhpo6ec7jaqaav4w7ugunfuixrw5vazt6hytm82,16365.0,0.89,0.06,108.41,7.47,100.0,2.0,0.0,18000.0,19,950.0,0,0.04684210526315789,0.0,2.0,2.0,947.3684210526316,Developing Trader,0.49437458333333334,True,0.49437458333333334,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4109900000000001,0.5100023421052632,0.47400000000000003,0.46163416096491233,High Risk,Medium
23vyEg2rYhZQLd2GE8pUicc4c7iJFRPVZCZHeF3jzJN9,7rnh8h2bhutyympxyxjwphh2ks7dx7kaan2t7yse8ymr,29499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,28,1100.0,0,0.0,0.0,0.0,0.0,1035.7142857142858,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
25Z1m8LMfBFpexv9pvGeFEmqRnHjSxHBwxnSprv4oD8M,6hfajiuutxfzefmdkqsnbvfe6i95nh2wuvj5dwmf7gtw,38742.0,-13119.0,-6.72,-6555.7,-3.36,26.53,26.0,72.0,412000.0,652,632.0,0,-20.12116564417178,0.11042944785276074,0.3611111111111111,0.3611111111111111,631.9018404907976,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
26zMdLPThrKUAyj8jb7HYzwFWyF7SsmdjiFt6UcDhufH,7plwmfkbjwc1zmfhulxeynvcwfwxtw7karcjyrq7yl9k,31346.0,-15199.0,-18.66,-0.49,0.0,21.92,16.0,57.0,194000.0,465,417.0,0,-32.686021505376345,0.12258064516129032,0.2807017543859649,0.2807017543859649,417.2043010752688,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
27ZcBY8SRfnynxGYEggMQqrA2967xuyPg4RT29nRBaBH,lat4msxv2gpyjqsucbz7xmv1g7deotoxvbf4pevl6be,16921.0,9078.7,18.13,-361.38,-0.72,30.77,4.0,9.0,114000.0,132,863.0,0,68.7780303030303,0.06818181818181818,0.4444444444444444,0.4444444444444444,863.6363636363636,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
