address,token_address,total_pnl,realized_pnl,roi,unrealized_pnl,unrealized_roi,win_rate,wins,losses,total_volume,total_trades,avg_trade_size,is_bot,avg_profit_per_trade,loss_rate,win_loss_ratio,profit_factor,volume_per_trade,persona,persona_confidence,validation_passed,quality_score,prob_Elite Sniper,prob_Whale,prob_Consistent Performer,prob_Scalper,prob_Momentum Trader,prob_Risk-Taker,prob_Developing Trader,profitability_score,risk_adjusted_score,consistency_score,copy_trading_score
12ezPHMdedFwM94YefhRJ9RLhZcsDmX3gJsMKCWt6K9e,9if3jn3wee31nixzhgzrkhypsrulsawdrc5mhzb8yvbs,4786997.0,124949.0,275.61,-54.77,-0.12,66.67,2.0,1.0,4900000.0,2400,2000.0,0,52.062083333333334,0.0004166666666666667,2.0,2.0,2041.6666666666667,Whale,0.8703400000000001,True,0.8703400000000001,0.0,0.3556727046107008,0.31330901809339917,0.3310182772959001,0.0,0.0,0.0,0.9333400000000001,0.5126031041666667,1.0,0.8141509312500002
CcLYwqv5EDkSdahkLpT3imWWg3Tr1ZF5ye8msy1Swiqy,4w2cysotx6czaugmmwg13hdpy4qemg2czekyeqyk9ama,1142901.0,148.78,0.03,139568.0,31.07,100.0,2.0,0.0,1600000.0,110,15000.0,0,1.3525454545454545,0.0,2.0,2.0,14545.454545454546,Whale,0.6713583333333335,True,0.6713583333333335,0.0,0.5014939681037811,0.0,0.0,0.0,0.49850603189621895,0.0,0.7333733333333334,0.5100676272727273,0.96,0.7055054548484849
EH7K5oUEL6pHkk6JTPfmD5RfTAKWVsfD7sU2qBuRNfwE,hnhpjpjgbg2kwnimtnw8cvbhvk1hfog3rc3kjnyc23td,1041339.0,101.13,0.56,-70.86,-0.39,69.23,9.0,4.0,1100000.0,129,8300.0,0,0.783953488372093,0.031007751937984496,2.25,2.25,8527.131782945737,Risk-Taker,0.6247999999999999,True,0.6247999999999999,0.0,0.4899841640409449,0.0,0.0,0.0,0.510015835959055,0.0,0.67254,0.5300391976744185,1.0,0.6905077593023256
DkpnsN75fXo5Q1nTsRoGYgJd3WF6okAwaumGgwqL7nWq,hnhpjpjgbg2kwnimtnw8cvbhvk1hfog3rc3kjnyc23td,883352.0,352663.0,35.28,-4345.0,-0.43,50.0,2.0,2.0,2900000.0,116,25000.0,0,3040.198275862069,0.017241379310344827,1.0,1.0,25000.0,Risk-Taker,0.7387333333333334,True,0.7387333333333334,0.0,0.32075829333699246,0.0,0.0,0.296892024168686,0.38234968249432155,0.0,0.6803733333333334,0.43200991379310344,1.0,0.6756256408045977
8deJ9xeUvXSJwicYptA9mHsU2rN2pDx37KWzkDkEXhU6,q2sphpduwfmg7m7wwrqklrn619caucfrsmhvjffodsp,1244926.0,-170477.0,-20.59,-29616.0,-3.58,67.82,59.0,28.0,2900000.0,596,4800.0,0,-286.0352348993289,0.04697986577181208,2.107142857142857,2.107142857142857,4865.771812080537,Whale,0.630957857142857,True,0.630957857142857,0.0,0.502273288125339,0.0,0.0,0.0,0.49772671187466105,0.0,0.64152,0.5042696668264621,1.0,0.6709846857622244
GwxKRApZeebdiL5iZdsDB6fwMPg2LSK4q5qBdTvVY1cz,q2sphpduwfmg7m7wwrqklrn619caucfrsmhvjffodsp,834036.0,56241.0,7.14,15025.0,1.91,100.0,2.0,0.0,2300000.0,49,46000.0,0,1147.7755102040817,0.0,2.0,2.0,46938.77551020408,Risk-Taker,0.7012833333333334,True,0.7012833333333334,0.0,0.34504426600782373,0.0,0.0,0.0,0.34652666254889847,0.3084290714432777,0.7428533333333334,0.5673887755102041,0.654,0.6682862993197279
ZeZaRGuaRrQ6CB6NxfDWYf4CTHiZi2ja5ydD9UEwMn8,9kxhkomtid1tmf32jvzmfb5mp9c6h15turermxljrflz,110115.0,4670.7,1.3,560.96,0.16,83.23,129.0,26.0,699000.0,470,1500.0,0,9.937659574468086,0.05531914893617021,4.961538461538462,4.961538461538462,1487.2340425531916,Scalper,0.6138507371794872,True,0.6138507371794872,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.44160333333333335,0.7474199599018003,0.96,0.6542523950218222
HoUFCak2wTAxmpFDzqY7c486wPUcYYS7pr2hkZPJhRaC,8ztfxjfpfvutef4slsapcfj8gw2dxyua9no2blpq7h7v,867934.0,44481.0,3.7,91489.0,7.62,100.0,2.0,0.0,2700000.0,33,81000.0,0,1347.909090909091,0.0,2.0,2.0,81818.18181818182,Risk-Taker,0.7144166666666667,True,0.7144166666666667,0.0,0.34650959646673685,0.0,0.0,0.0,0.34993836382487165,0.30355203970839145,0.7382666666666666,0.5773954545454546,0.558,0.6515669696969697
7x3H1zhnF6xp53HFNQ1ojACw73cibGNtF8agY5rtxxhm,7vbqtbxevphssw3iuebvczrqo322jnjujun6scdcxr6t,29175.0,29175.0,77.69,0.0,0.0,83.33,5.0,1.0,104000.0,69,1500.0,0,422.82608695652175,0.014492753623188406,5.0,5.0,1507.2463768115942,Elite Sniper,0.6551648188405798,True,0.6551648188405798,0.36040913625964693,0.0,0.3447743482668942,0.0,0.29481651547345883,0.0,0.0,0.48969666666666667,0.771141304347826,0.774,0.6475375398550726
3yUWeoV7rmeRf6M7humb2kueGfHHMJye6GMZgwUG4W6V,9fvcekjnhwrdrfqi9vqcum3jxmdjrgmfmsdo4vhy3h72,4988.4,4054.4,1.98,-51.03,-0.02,92.11,35.0,3.0,411000.0,1200,348.0,0,3.3786666666666667,0.0025,11.666666666666666,11.666666666666666,342.5,Scalper,0.7040685000000001,True,0.7040685000000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3901856,0.7501689333333332,0.96,0.64353177
A5GTF7jGAgJgbvFBsrtrwq27LkRRPSVEPwgkAxDwfBZC,2kuebor9p8e2yvgcund9ipmhgm9nl4pg11zeeoqvqzwg,242977.0,81769.0,141.38,0.0,0.0,100.0,1.0,0.0,359000.0,207,1700.0,0,395.0193236714976,0.0,1.0,1.0,1734.2995169082126,Scalper,0.5947670833333333,True,0.5947670833333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7504913333333334,0.2997509661835749,0.96,0.6415985315217392
DNfuF1L62WWyW3pNakVkyGGFzVVhj4Yr52jSmdTyeBHm,e9ogc72mzwyqmzr5ggb9daogyrssr3uhfwhg1l75rzve,472754.0,163645.0,35.48,-24622.0,-5.34,55.77,29.0,23.0,1100000.0,293,3700.0,0,558.5153583617747,0.07849829351535836,1.2608695652173914,1.2608695652173914,3754.2662116040956,Whale,0.569034391304348,True,0.569034391304348,0.0,0.34672777523383935,0.31258847902007153,0.0,0.0,0.3406837457460892,0.0,0.6740160000000002,0.36792576791808873,1.0,0.6368875695058616
