address,persona,copy_trading_score,quality_score,profitability_score,risk_adjusted_score,total_pnl,roi,win_rate,total_trades,profit_factor,persona_confidence
6r6yeAShRzG3Bx7RVVNPUQzXwB85tX3f9KNBqRdQSdLb,Developing Trader,0.496320677631579,0.4798189166666667,0.39693933333333337,0.5998768421052632,39909.0,15.25,75.0,38,3.0,0.4798189166666667
9R32rBhQdVyM3ZGwJKoQNwqyaRtL9Td7o4tCfKFie2ej,Developing Trader,0.4932836250000001,0.5187535833333334,0.5755206666666668,0.28,263281.0,0.0,100.0,46,1.0,0.5187535833333334
5KBBWAsMSBJW1Un2Y2npxXRHVXrK6Anc9mG76AxSnhDL,Developing Trader,0.47861121590909095,0.47055325000000003,0.578542,0.3564636363636363,17813.0,953.87,50.0,11,1.0,0.47055325000000003
G5BgTp5n4B2e6Z8yuzuPuJPTSJbs7P5yvxxrUcX7LQGc,Developing Trader,0.4767862500000001,0.41317983333333336,0.38917066666666666,0.51,83746.0,0.0,66.67,39,2.0,0.41317983333333336
5fYgdZmP1zBjaXumtnozJPsXDMGDpGxjRbN1tWptc8bw,Developing Trader,0.47346004583333334,0.48156599166666664,0.3925848666666667,0.5968983333333333,2897.3,30.49,75.0,21,3.0,0.48156599166666664
5abNfEtL3JjivyftmL6aRqpuWH9E12k8CWA8ohaZX2GM,Developing Trader,0.4704627166666667,0.4935142,0.4062778666666667,0.5100005,9256.8,0.08,100.0,28,2.0,0.4935142
Chf4nDdeFYaANU9HgaNjnLFkdcGdhwMahmQcBRURapFX,Developing Trader,0.4648787789473684,0.4092816,0.3613176,0.5127452631578947,2086.4,19.94,66.67,38,2.0,0.4092816
23PvMrBSMfK3zvTnaNdZHNCwUCoKVw7BnQm4hbe87gtq,Developing Trader,0.46163416096491233,0.49437458333333334,0.4109900000000001,0.5100023421052632,16365.0,0.06,100.0,19,2.0,0.49437458333333334
Dg8kHB2odwLBNMEJhtQP4tFBhMRKzp98cqsdfsJZbCoU,Developing Trader,0.45553612500000007,0.49287858333333334,0.4081206666666667,0.51,12181.0,0.0,100.0,15,2.0,0.49287858333333334
82bQgKqj7CwpCoxoYNmNoLtgpUrzyHnQWDrYRX9b6WAu,Developing Trader,0.45302976333333334,0.46607679999999996,0.36825813333333335,0.5903961,1007.2,13.19,75.0,15,3.0,0.46607679999999996
