address,persona,copy_trading_score,quality_score,profitability_score,risk_adjusted_score,total_pnl,roi,win_rate,total_trades,profit_factor,persona_confidence
7x3H1zhnF6xp53HFNQ1ojACw73cibGNtF8agY5rtxxhm,Elite Sniper,0.6475375398550726,0.6551648188405798,0.48969666666666667,0.771141304347826,29175.0,77.69,83.33,69,5.0,0.6551648188405798
59QxjfyGKdSWKFLS5fQAYPBaEA9EWQBApSLZu1j6WgHY,Elite Sniper,0.618743858974359,0.6860355128205128,0.6781200000000001,0.5336410256410257,18440.0,199.37,100.0,39,2.0,0.6860355128205128
GDeXeu2Ss3neEZKowADYfwkCjJhGV2i3tu6wwvUG57W1,Elite Sniper,0.6121712952736319,0.6772058980099503,0.7229086666666666,0.3429574626865672,84363.0,277.76,100.0,67,1.0,0.6772058980099503
5pmSQJkQiMKp9cwj77bQHau1S94RDrgQziRMDA2HjJwe,Elite Sniper,0.5908627366666668,0.6405584333333334,0.7018873333333333,0.2801732,52831.0,209.61,100.0,75,1.0,0.6405584333333334
ESCxSFbKWMWZbR8nxxAPYmYhR3yfEr6MLVzSh1RK9gUQ,Elite Sniper,0.5847088796420582,0.5213203042505592,0.3945986666666667,0.6357912751677852,17258.0,20.65,77.78,149,3.5,0.5213203042505592
2jUqtwfSvvyNYDcCXpgtUJZqkFdh9Ba5SL2Zh3AF1SQ2,Elite Sniper,0.5843394081034483,0.6102442258620691,0.5711458,0.510855551724138,8598.7,124.06,100.0,58,2.0,0.6102442258620691
BtjJPBFBG9rUyTf7pwh4ZW53GNVLX4ptoKhoKVwdhqqR,Elite Sniper,0.5503021574074074,0.5529737962962963,0.56735,0.5188825925925926,10935.0,170.04,66.67,27,2.0,0.5529737962962963
CUUdSauxhb61ogjvKv8qPCx2eWBuUAEq7w6BM3ZRRrho,Elite Sniper,0.5491114470588235,0.43450635294117645,0.39971599999999996,0.48591470588235297,27134.0,38.39,65.22,102,1.875,0.43450635294117645
9AsdWLCnk2i586kZ8vjX6Fu7c9ekJQMFYruhp5MZx5rx,Elite Sniper,0.5485918756410257,0.5803843461538462,0.6005753333333333,0.28241102564102566,44723.0,128.07,100.0,78,1.0,0.5803843461538462
CKPA28uFGyhFXawVaZ6of8cRNS944M4vEcyzYEqgBgVL,Elite Sniper,0.5377730611111111,0.5034179444444444,0.476194,0.5431788888888889,29861.0,92.21,66.67,45,2.0,0.5034179444444444
