address,persona,copy_trading_score,quality_score,profitability_score,risk_adjusted_score,total_pnl,roi,win_rate,total_trades,profit_factor,persona_confidence
9DM7EXbhEP1sxtJF61WBqdqXvzn2iC3yGQBUVGwZ1pvy,Momentum Trader,0.5232217517605634,0.47991774295774653,0.552926,0.2961985915492958,39769.0,169.81,50.0,71,1.0,0.47991774295774653
DqAqedmgCWaYSsotVpCqYwRHbyvD5DFEQWJei6yPbZoA,Momentum Trader,0.5078715833333333,0.4436875,0.5456533333333333,0.286805,131560.0,118.46,50.0,66,1.0,0.4436875
5tH1gTJwWD1SZCZ1gwb63LNg114JH1YZtF4qeT3BoohN,Momentum Trader,0.48776363392857147,0.5019066607142857,0.5759380000000001,0.25332589285714285,35327.0,212.36,42.86,56,0.75,0.5019066607142857
4TRqBAbBQ49KzKi6MFTMteVyQNug3tLtqZXFR2B1AATs,Momentum Trader,0.4874871690476192,0.4172815476190476,0.4867000000000001,0.2235967142857143,29160.0,137.94,41.67,150,0.7142857142857143,0.4172815476190476
DwSZnz2uUNmkAEx9r1jXBeUjgHXF7mtdvFZSfsLxNHyP,Momentum Trader,0.48565425757575764,0.5232358787878788,0.5783613333333334,0.31862045454545457,17542.0,429.92,50.0,22,1.0,0.5232358787878788
Ek9SrZe8KJ3BcTde67XZGxya1iBguw7QMiKVsiiaYkCF,Momentum Trader,0.4770903982526881,0.3352637411290323,0.3537029333333333,0.3402761693548387,7094.4,28.39,55.56,124,1.25,0.3352637411290323
F8jUkRXD6DM2TZfntQiHm6h74o8PaQyPJFxiiNUg93rQ,Momentum Trader,0.47626373463804716,0.3565768615319866,0.3923863333333334,0.28283838383838383,6979.5,65.8,50.0,99,1.0,0.3565768615319866
7s5tDZMogDzfM7dfM91xSZyYwt3CPR7rgShN6Vza29oc,Momentum Trader,0.47256413145994836,0.3404538727390181,0.38023000000000007,0.2880891472868217,52505.0,33.92,50.0,129,1.0,0.3404538727390181
4PtwpqvKD5jzTDRR3rX5VKkmLwupC6znVjVTyX6fsjek,Momentum Trader,0.46614211567164177,0.371630092039801,0.39440933333333333,0.36938457711442785,26714.0,46.74,57.14,67,1.3333333333333333,0.371630092039801
6nKzBQaJdhFmbvxk6CWpFseesQpPrUux1ANyxnbM8k5h,Momentum Trader,0.44984135479797976,0.3606921843434343,0.38825,0.33090712121212124,10105.0,54.31,54.55,66,1.2,0.3606921843434343
