address,persona,copy_trading_score,quality_score,profitability_score,risk_adjusted_score,total_pnl,roi,win_rate,total_trades,profit_factor,persona_confidence
EH7K5oUEL6pHkk6JTPfmD5RfTAKWVsfD7sU2qBuRNfwE,Risk-Taker,0.6905077593023256,0.6247999999999999,0.67254,0.5300391976744185,1041339.0,0.56,69.23,129,2.25,0.6247999999999999
DkpnsN75fXo5Q1nTsRoGYgJd3WF6okAwaumGgwqL7nWq,Risk-Taker,0.6756256408045977,0.7387333333333334,0.6803733333333334,0.43200991379310344,883352.0,35.28,50.0,116,1.0,0.7387333333333334
GwxKRApZeebdiL5iZdsDB6fwMPg2LSK4q5qBdTvVY1cz,Risk-Taker,0.6682862993197279,0.7012833333333334,0.7428533333333334,0.5673887755102041,834036.0,7.14,100.0,49,2.0,0.7012833333333334
HoUFCak2wTAxmpFDzqY7c486wPUcYYS7pr2hkZPJhRaC,Risk-Taker,0.6515669696969697,0.7144166666666667,0.7382666666666666,0.5773954545454546,867934.0,3.7,100.0,33,2.0,0.7144166666666667
7MTfzDmxVjz2uZtBbehU1ZK6BCJenGq6qEQkaY15vEvG,Risk-Taker,0.6006862261904762,0.5756583333333333,0.6460133333333333,0.28238353174603176,682241.0,9.51,50.0,126,1.0,0.5756583333333333
2WxdxZ9bhaCU2mPssvZZytmD5dZZfYs7wFnne63iZHmE,Risk-Taker,0.598870962254902,0.5118014166666667,0.570714,0.3980174019607843,371631.0,2.22,60.0,204,1.5,0.5118014166666667
rf8nhVwvZyVdP4Zhg5qLSHsDy8nrGqX62g4MZ6ULde7,Risk-Taker,0.5844498273809523,0.6576333333333333,0.6338133333333333,0.28120386904761907,701780.0,0.36,50.0,84,1.0,0.6576333333333333
PcUsdfrwXJmFp79qDEbTxDXnrdhwJXyxjCacHMC1NJT,Risk-Taker,0.5793548081300813,0.6372333333333333,0.6331733333333334,0.2798738048780488,896424.0,-0.12,50.0,82,1.0,0.6372333333333333
DfTv2VrfvqEgXc7Jt5LgNqtCeUYS5sMg1FHcgigsHWxm,Risk-Taker,0.5599810833333334,0.6536666666666666,0.6338666666666667,0.2808925,1223367.0,0.4,50.0,64,1.0,0.6536666666666666
8o9ZgHgyCit1u3P7wjjSqwpJ2UKvsqyYvT9om3csFAeU,Risk-Taker,0.5391081585034013,0.6016703333333333,0.6241413333333333,0.30161530612244897,437612.0,24.3,50.0,49,1.0,0.6016703333333333
