address,persona,copy_trading_score,quality_score,profitability_score,risk_adjusted_score,total_pnl,roi,win_rate,total_trades,profit_factor,persona_confidence
12ezPHMdedFwM94YefhRJ9RLhZcsDmX3gJsMKCWt6K9e,Whale,0.8141509312500002,0.8703400000000001,0.9333400000000001,0.5126031041666667,4786997.0,275.61,66.67,2400,2.0,0.8703400000000001
CcLYwqv5EDkSdahkLpT3imWWg3Tr1ZF5ye8msy1Swiqy,Whale,0.7055054548484849,0.6713583333333335,0.7333733333333334,0.5100676272727273,1142901.0,0.03,100.0,110,2.0,0.6713583333333335
8deJ9xeUvXSJwicYptA9mHsU2rN2pDx37KWzkDkEXhU6,Whale,0.6709846857622244,0.630957857142857,0.64152,0.5042696668264621,1244926.0,-20.59,67.82,596,2.107142857142857,0.630957857142857
DNfuF1L62WWyW3pNakVkyGGFzVVhj4Yr52jSmdTyeBHm,Whale,0.6368875695058616,0.569034391304348,0.6740160000000002,0.36792576791808873,472754.0,35.48,55.77,293,1.2608695652173914,0.569034391304348
8TSfBNY3NGBu2PnWs5Wu4yDT5wgVFGjx1Pdga6fjkYqo,Whale,0.6119806666666667,0.6484733333333333,0.7333333333333334,0.51,581514.0,0.0,100.0,24,2.0,0.6484733333333333
H5jriaq8jSMAWuUePjSoDNiWEB2bDped9os6AMPZd9GV,Whale,0.6053280128205129,0.6637383333333333,0.7836133333333333,0.4076961538461539,613570.0,37.71,100.0,26,1.0,0.6637383333333333
FTg1gqW7vPm4kdU1LPM7JJnizbgPdRDy2PitKw6mY27j,Whale,0.5113727142257819,0.4726444999999999,0.5520593333333333,0.19761510297482837,435769.0,-14.56,40.48,437,0.68,0.4726444999999999
3JaSfvCwh6tive9beybTrHdy2Gtj2DDCFfd6yi9rQ4em,Whale,0.5093232423076924,0.54216,0.6114600000000001,0.1684108076923077,526147.0,8.6,33.33,1300,0.5,0.54216
5QCvNDgFWVBhNN7o4gXbAcTZueSXMQJL3RuofgW39VJm,Whale,0.49599512068525087,0.5227064155251142,0.5934933333333333,0.15442381933135357,895788.0,-2.07,31.46,858,0.4589041095890411,0.5227064155251142
BC8yiFFQWFEKrEEj75zYsuK3ZDCfv6QEeMRif9oZZ9TW,Whale,0.49446233567493114,0.4775748333333333,0.5730353333333332,0.1916357300275482,403603.0,23.72,36.17,605,0.5666666666666667,0.4775748333333333
