address,token_address,total_pnl,realized_pnl,roi,unrealized_pnl,unrealized_roi,win_rate,wins,losses,total_volume,total_trades,avg_trade_size,is_bot,avg_profit_per_trade,loss_rate,win_loss_ratio,profit_factor,volume_per_trade,persona,persona_confidence,validation_passed,quality_score,prob_Elite Sniper,prob_Whale,prob_Consistent Performer,prob_Scalper,prob_Momentum Trader,prob_Risk-Taker,prob_Developing Trader,profitability_score,risk_adjusted_score,consistency_score,copy_trading_score,risk_category
7x3H1zhnF6xp53HFNQ1ojACw73cibGNtF8agY5rtxxhm,7vbqtbxevphssw3iuebvczrqo322jnjujun6scdcxr6t,29175.0,29175.0,77.69,0.0,0.0,83.33,5.0,1.0,104000.0,69,1500.0,0,422.82608695652175,0.014492753623188406,5.0,5.0,1507.2463768115942,Elite Sniper,0.6551648188405798,True,0.6551648188405798,0.36040913625964693,0.0,0.3447743482668942,0.0,0.29481651547345883,0.0,0.0,0.48969666666666667,0.771141304347826,0.774,0.6475375398550726,Low Risk
59QxjfyGKdSWKFLS5fQAYPBaEA9EWQBApSLZu1j6WgHY,gc1utsxrrlauwby3uwsemjuxhjmjhhv1sxj9a1jhvyxp,18440.0,18440.0,199.37,111.78,1.21,100.0,2.0,0.0,37000.0,39,946.0,0,472.8205128205128,0.0,2.0,2.0,948.7179487179487,Elite Sniper,0.6860355128205128,True,0.6860355128205128,0.26669829963465863,0.0,0.2305149234930957,0.0,0.24504943109500932,0.0,0.25773734577723634,0.6781200000000001,0.5336410256410257,0.5940000000000001,0.618743858974359,Low Risk
GDeXeu2Ss3neEZKowADYfwkCjJhGV2i3tu6wwvUG57W1,8n5vs5asyqxrkvl73k9m6hvtkzwmeubsdkzql2mbddy4,84363.0,84363.0,277.76,28337.0,93.3,100.0,1.0,0.0,136000.0,67,2000.0,0,1259.1492537313434,0.0,1.0,1.0,2029.8507462686566,Elite Sniper,0.6772058980099503,True,0.6772058980099503,0.5063494748107981,0.0,0.0,0.0,0.49365052518920194,0.0,0.0,0.7229086666666666,0.3429574626865672,0.762,0.6121712952736319,Low Risk
5pmSQJkQiMKp9cwj77bQHau1S94RDrgQziRMDA2HjJwe,8n5vs5asyqxrkvl73k9m6hvtkzwmeubsdkzql2mbddy4,52831.0,259.8,209.61,0.0,0.0,100.0,1.0,0.0,53000.0,75,708.0,0,3.464,0.0,1.0,1.0,706.6666666666666,Elite Sniper,0.6405584333333334,True,0.6405584333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7018873333333333,0.2801732,0.81,0.5908627366666668,Low Risk
ESCxSFbKWMWZbR8nxxAPYmYhR3yfEr6MLVzSh1RK9gUQ,7rnh8h2bhutyympxyxjwphh2ks7dx7kaan2t7yse8ymr,17258.0,17258.0,20.65,0.0,0.0,77.78,7.0,2.0,184000.0,149,1200.0,0,115.8255033557047,0.013422818791946308,3.5,3.5,1234.8993288590605,Elite Sniper,0.5213203042505592,True,0.5213203042505592,0.2737421479098272,0.0,0.26457874832027795,0.24008040166028274,0.22159870210961213,0.0,0.0,0.3945986666666667,0.6357912751677852,0.92,0.5847088796420582,Low Risk
2jUqtwfSvvyNYDcCXpgtUJZqkFdh9Ba5SL2Zh3AF1SQ2,jtoazecroxgrzrynhnfnp5n1bnwytltceq57zmbpc6r,8598.7,992.44,124.06,0.0,0.0,100.0,2.0,0.0,10000.0,58,176.0,0,17.111034482758622,0.0,2.0,2.0,172.41379310344828,Elite Sniper,0.6102442258620691,True,0.6102442258620691,0.5299020066285111,0.0,0.470097993371489,0.0,0.0,0.0,0.0,0.5711458,0.510855551724138,0.708,0.5843394081034483,Low Risk
BtjJPBFBG9rUyTf7pwh4ZW53GNVLX4ptoKhoKVwdhqqR,52flwrtxbq3ej3qc6vbyrdzoykogp3jsxxhygue9r5v,10935.0,4796.6,170.04,0.0,0.0,66.67,2.0,1.0,17000.0,27,614.0,0,177.65185185185186,0.037037037037037035,2.0,2.0,629.6296296296297,Elite Sniper,0.5529737962962963,True,0.5529737962962963,0.34375375817416076,0.0,0.0,0.0,0.3233692392538379,0.0,0.33287700257200137,0.56735,0.5188825925925926,0.562,0.5503021574074074,Low Risk
CUUdSauxhb61ogjvKv8qPCx2eWBuUAEq7w6BM3ZRRrho,8ngjonmzwid3dg31nkzhawajbts1urxggebkztskbxsd,27134.0,9516.0,38.39,-1946.3,-7.85,65.22,15.0,8.0,74000.0,102,725.0,0,93.29411764705883,0.0784313725490196,1.875,1.875,725.4901960784314,Elite Sniper,0.43450635294117645,True,0.43450635294117645,0.27306418077051486,0.0,0.25240816548234823,0.23341304299446927,0.24111461075266769,0.0,0.0,0.39971599999999996,0.48591470588235297,1.0,0.5491114470588235,Low Risk
9AsdWLCnk2i586kZ8vjX6Fu7c9ekJQMFYruhp5MZx5rx,8n5vs5asyqxrkvl73k9m6hvtkzwmeubsdkzql2mbddy4,44723.0,3761.2,128.07,0.0,0.0,100.0,1.0,0.0,51000.0,78,649.0,0,48.220512820512816,0.0,1.0,1.0,653.8461538461538,Elite Sniper,0.5803843461538462,True,0.5803843461538462,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6005753333333333,0.28241102564102566,0.8280000000000001,0.5485918756410257,Low Risk
CKPA28uFGyhFXawVaZ6of8cRNS944M4vEcyzYEqgBgVL,hqsunyltoccw42ghpj8miszn2ztggadfp44k8quylofh,29861.0,29861.0,92.21,9037.6,27.91,66.67,8.0,4.0,84000.0,45,1900.0,0,663.5777777777778,0.08888888888888889,2.0,2.0,1866.6666666666667,Elite Sniper,0.5034179444444444,True,0.5034179444444444,0.26628808719584685,0.0,0.23411886936037268,0.0,0.24719952275246154,0.0,0.25239352069131893,0.476194,0.5431788888888889,0.67,0.5377730611111111,Low Risk
