address,token_address,total_pnl,realized_pnl,roi,unrealized_pnl,unrealized_roi,win_rate,wins,losses,total_volume,total_trades,avg_trade_size,is_bot,avg_profit_per_trade,loss_rate,win_loss_ratio,profit_factor,volume_per_trade,persona,persona_confidence,validation_passed,quality_score,prob_Elite Sniper,prob_Whale,prob_Consistent Performer,prob_Scalper,prob_Momentum Trader,prob_Risk-Taker,prob_Developing Trader,profitability_score,risk_adjusted_score,consistency_score,copy_trading_score,risk_category
12ezPHMdedFwM94YefhRJ9RLhZcsDmX3gJsMKCWt6K9e,9if3jn3wee31nixzhgzrkhypsrulsawdrc5mhzb8yvbs,4786997.0,124949.0,275.61,-54.77,-0.12,66.67,2.0,1.0,4900000.0,2400,2000.0,0,52.062083333333334,0.0004166666666666667,2.0,2.0,2041.6666666666667,Whale,0.8703400000000001,True,0.8703400000000001,0.0,0.3556727046107008,0.31330901809339917,0.3310182772959001,0.0,0.0,0.0,0.9333400000000001,0.5126031041666667,1.0,0.8141509312500002,Medium-High Risk
CcLYwqv5EDkSdahkLpT3imWWg3Tr1ZF5ye8msy1Swiqy,4w2cysotx6czaugmmwg13hdpy4qemg2czekyeqyk9ama,1142901.0,148.78,0.03,139568.0,31.07,100.0,2.0,0.0,1600000.0,110,15000.0,0,1.3525454545454545,0.0,2.0,2.0,14545.454545454546,Whale,0.6713583333333335,True,0.6713583333333335,0.0,0.5014939681037811,0.0,0.0,0.0,0.49850603189621895,0.0,0.7333733333333334,0.5100676272727273,0.96,0.7055054548484849,Medium-High Risk
8deJ9xeUvXSJwicYptA9mHsU2rN2pDx37KWzkDkEXhU6,q2sphpduwfmg7m7wwrqklrn619caucfrsmhvjffodsp,1244926.0,-170477.0,-20.59,-29616.0,-3.58,67.82,59.0,28.0,2900000.0,596,4800.0,0,-286.0352348993289,0.04697986577181208,2.107142857142857,2.107142857142857,4865.771812080537,Whale,0.630957857142857,True,0.630957857142857,0.0,0.502273288125339,0.0,0.0,0.0,0.49772671187466105,0.0,0.64152,0.5042696668264621,1.0,0.6709846857622244,Medium-High Risk
DNfuF1L62WWyW3pNakVkyGGFzVVhj4Yr52jSmdTyeBHm,e9ogc72mzwyqmzr5ggb9daogyrssr3uhfwhg1l75rzve,472754.0,163645.0,35.48,-24622.0,-5.34,55.77,29.0,23.0,1100000.0,293,3700.0,0,558.5153583617747,0.07849829351535836,1.2608695652173914,1.2608695652173914,3754.2662116040956,Whale,0.569034391304348,True,0.569034391304348,0.0,0.34672777523383935,0.31258847902007153,0.0,0.0,0.3406837457460892,0.0,0.6740160000000002,0.36792576791808873,1.0,0.6368875695058616,Medium-High Risk
8TSfBNY3NGBu2PnWs5Wu4yDT5wgVFGjx1Pdga6fjkYqo,frhb8l7y9qq41qzxyltc2nw8an1rjfllxrf2x9rwllmo,581514.0,0.0,0.0,200825.0,78.38,100.0,2.0,0.0,838000.0,24,35000.0,0,0.0,0.0,2.0,2.0,34916.666666666664,Whale,0.6484733333333333,True,0.6484733333333333,0.0,0.34111145010327576,0.0,0.0,0.0,0.3349990706938936,0.3238894792028307,0.7333333333333334,0.51,0.504,0.6119806666666667,Medium-High Risk
H5jriaq8jSMAWuUePjSoDNiWEB2bDped9os6AMPZd9GV,8ztfxjfpfvutef4slsapcfj8gw2dxyua9no2blpq7h7v,613570.0,66402.0,37.71,0.0,0.0,100.0,1.0,0.0,966000.0,26,37000.0,0,2553.923076923077,0.0,1.0,1.0,37153.846153846156,Whale,0.6637383333333333,True,0.6637383333333333,0.19901917012423787,0.20524446334681157,0.0,0.0,0.20278667988880905,0.20513932685847971,0.18781035978166183,0.7836133333333333,0.4076961538461539,0.516,0.6053280128205129,Medium-High Risk
9DM7EXbhEP1sxtJF61WBqdqXvzn2iC3yGQBUVGwZ1pvy,gc1utsxrrlauwby3uwsemjuxhjmjhhv1sxj9a1jhvyxp,39769.0,23002.0,169.81,2047.3,15.11,50.0,1.0,1.0,66000.0,71,930.0,0,323.9718309859155,0.014084507042253521,1.0,1.0,929.5774647887324,Momentum Trader,0.47991774295774653,True,0.47991774295774653,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.552926,0.2961985915492958,0.8260000000000001,0.5232217517605634,Medium-High Risk
FTg1gqW7vPm4kdU1LPM7JJnizbgPdRDy2PitKw6mY27j,hnxndek9suxvn12urquccxc267bwm1n472dhcvjmj35,435769.0,-76780.0,-14.56,54418.0,10.32,40.48,17.0,25.0,1300000.0,437,2900.0,0,-175.6979405034325,0.057208237986270026,0.68,0.68,2974.828375286041,Whale,0.4726444999999999,True,0.4726444999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5520593333333333,0.19761510297482837,0.92,0.5113727142257819,Medium-High Risk
3JaSfvCwh6tive9beybTrHdy2Gtj2DDCFfd6yi9rQ4em,4w2cysotx6czaugmmwg13hdpy4qemg2czekyeqyk9ama,526147.0,88681.0,8.6,-30637.0,-2.97,33.33,5.0,10.0,2500000.0,1300,2000.0,0,68.21615384615384,0.007692307692307693,0.5,0.5,1923.076923076923,Whale,0.54216,True,0.54216,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6114600000000001,0.1684108076923077,0.8,0.5093232423076924,Medium-High Risk
DqAqedmgCWaYSsotVpCqYwRHbyvD5DFEQWJei6yPbZoA,94fd4trlwf9whhttisyn8pczqsbkmbnd2mvdbyywudu9,131560.0,8982.6,118.46,137.22,1.81,50.0,3.0,3.0,146000.0,66,2200.0,0,136.1,0.045454545454545456,1.0,1.0,2212.121212121212,Momentum Trader,0.4436875,True,0.4436875,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5456533333333333,0.286805,0.796,0.5078715833333333,Medium-High Risk
