address,persona,copy_trading_score,quality_score,profitability_score,risk_adjusted_score,total_pnl,roi,win_rate,total_trades,profit_factor,persona_confidence
12ezPHMdedFwM94YefhRJ9RLhZcsDmX3gJsMKCWt6K9e,Whale,0.8141509312500002,0.8703400000000001,0.9333400000000001,0.5126031041666667,4786997.0,275.61,66.67,2400,2.0,0.8703400000000001
CcLYwqv5EDkSdahkLpT3imWWg3Tr1ZF5ye8msy1Swiqy,Whale,0.7055054548484849,0.6713583333333335,0.7333733333333334,0.5100676272727273,1142901.0,0.03,100.0,110,2.0,0.6713583333333335
EH7K5oUEL6pHkk6JTPfmD5RfTAKWVsfD7sU2qBuRNfwE,Risk-Taker,0.6905077593023256,0.6247999999999999,0.67254,0.5300391976744185,1041339.0,0.56,69.23,129,2.25,0.6247999999999999
DkpnsN75fXo5Q1nTsRoGYgJd3WF6okAwaumGgwqL7nWq,Risk-Taker,0.6756256408045977,0.7387333333333334,0.6803733333333334,0.43200991379310344,883352.0,35.28,50.0,116,1.0,0.7387333333333334
8deJ9xeUvXSJwicYptA9mHsU2rN2pDx37KWzkDkEXhU6,Whale,0.6709846857622244,0.630957857142857,0.64152,0.5042696668264621,1244926.0,-20.59,67.82,596,2.107142857142857,0.630957857142857
GwxKRApZeebdiL5iZdsDB6fwMPg2LSK4q5qBdTvVY1cz,Risk-Taker,0.6682862993197279,0.7012833333333334,0.7428533333333334,0.5673887755102041,834036.0,7.14,100.0,49,2.0,0.7012833333333334
ZeZaRGuaRrQ6CB6NxfDWYf4CTHiZi2ja5ydD9UEwMn8,Scalper,0.6542523950218222,0.6138507371794872,0.44160333333333335,0.7474199599018003,110115.0,1.3,83.23,470,4.961538461538462,0.6138507371794872
HoUFCak2wTAxmpFDzqY7c486wPUcYYS7pr2hkZPJhRaC,Risk-Taker,0.6515669696969697,0.7144166666666667,0.7382666666666666,0.5773954545454546,867934.0,3.7,100.0,33,2.0,0.7144166666666667
7x3H1zhnF6xp53HFNQ1ojACw73cibGNtF8agY5rtxxhm,Elite Sniper,0.6475375398550726,0.6551648188405798,0.48969666666666667,0.771141304347826,29175.0,77.69,83.33,69,5.0,0.6551648188405798
3yUWeoV7rmeRf6M7humb2kueGfHHMJye6GMZgwUG4W6V,Scalper,0.64353177,0.7040685000000001,0.3901856,0.7501689333333332,4988.4,1.98,92.11,1200,11.666666666666666,0.7040685000000001
A5GTF7jGAgJgbvFBsrtrwq27LkRRPSVEPwgkAxDwfBZC,Scalper,0.6415985315217392,0.5947670833333333,0.7504913333333334,0.2997509661835749,242977.0,141.38,100.0,207,1.0,0.5947670833333333
DNfuF1L62WWyW3pNakVkyGGFzVVhj4Yr52jSmdTyeBHm,Whale,0.6368875695058616,0.569034391304348,0.6740160000000002,0.36792576791808873,472754.0,35.48,55.77,293,1.2608695652173914,0.569034391304348
59QxjfyGKdSWKFLS5fQAYPBaEA9EWQBApSLZu1j6WgHY,Elite Sniper,0.618743858974359,0.6860355128205128,0.6781200000000001,0.5336410256410257,18440.0,199.37,100.0,39,2.0,0.6860355128205128
GDeXeu2Ss3neEZKowADYfwkCjJhGV2i3tu6wwvUG57W1,Elite Sniper,0.6121712952736319,0.6772058980099503,0.7229086666666666,0.3429574626865672,84363.0,277.76,100.0,67,1.0,0.6772058980099503
8TSfBNY3NGBu2PnWs5Wu4yDT5wgVFGjx1Pdga6fjkYqo,Whale,0.6119806666666667,0.6484733333333333,0.7333333333333334,0.51,581514.0,0.0,100.0,24,2.0,0.6484733333333333
H5jriaq8jSMAWuUePjSoDNiWEB2bDped9os6AMPZd9GV,Whale,0.6053280128205129,0.6637383333333333,0.7836133333333333,0.4076961538461539,613570.0,37.71,100.0,26,1.0,0.6637383333333333
7MTfzDmxVjz2uZtBbehU1ZK6BCJenGq6qEQkaY15vEvG,Risk-Taker,0.6006862261904762,0.5756583333333333,0.6460133333333333,0.28238353174603176,682241.0,9.51,50.0,126,1.0,0.5756583333333333
2WxdxZ9bhaCU2mPssvZZytmD5dZZfYs7wFnne63iZHmE,Risk-Taker,0.598870962254902,0.5118014166666667,0.570714,0.3980174019607843,371631.0,2.22,60.0,204,1.5,0.5118014166666667
9CWYprCFcVafLWUCbMWgtNyTjj5qfHLdZLcyQS8VdX28,Scalper,0.595167684375,0.61044,0.538384,0.39590028125,223376.0,52.1,60.0,1600,1.5,0.61044
4QzYfSEefzeMx378s2E8UUSkGvbarNERxSDurJCAqiom,Consistent Performer,0.5931599608695654,0.5092213333333335,0.4474426666666667,0.5975358695652174,53464.0,46.35,75.0,230,3.0,0.5092213333333335
